Bi,La,Sr,Ca,Ti,Mg,Mn,Zr,Hf
0.9396673,0.00020333874,0.060104888,2.448105e-05,0.50496435,0.49214864,0.00275769,1.32102205e-05,0.00011607286
0.9131549,0.0014068269,0.08542249,1.5817484e-05,0.48506117,0.51184165,0.0025599075,9.30842e-06,0.00052787847
0.9037885,0.0056552077,0.09053769,1.8596593e-05,0.48923454,0.5042894,0.00618697,6.4976425e-06,0.0002826233
0.9406873,0.00022142599,0.05906858,2.2676571e-05,0.48432767,0.49002078,0.025548996,1.5028899e-05,8.7450826e-05
0.9413485,0.0002109531,0.058416314,2.4288045e-05,0.505914,0.4888651,0.0050749555,8.979622e-06,0.00013694515
0.92534155,0.00063187623,0.07400877,1.7874183e-05,0.48171547,0.5139673,0.0032734585,9.098035e-06,0.0010347851
0.91271037,0.0006590581,0.086613715,1.6827053e-05,0.48050556,0.51572764,0.0029912854,8.923147e-06,0.0007665636
0.8896957,0.010273739,0.10001369,1.686769e-05,0.4825045,0.51424557,0.0026687512,9.360936e-06,0.000571754
0.8854258,0.0072027454,0.10735535,1.6145326e-05,0.50601155,0.48497167,0.0038940571,2.7867802e-05,0.005094832
0.8874235,0.0014306002,0.111130945,1.4924969e-05,0.5634723,0.42217007,0.0024461942,8.692939e-05,0.011824539
0.92165226,0.0012904991,0.07704081,1.639805e-05,0.43853247,0.43571883,0.055412296,0.0001453074,0.070191026
0.93997777,0.0011840131,0.05881915,1.9001393e-05,0.4157774,0.40898085,0.09171087,0.00033940954,0.08319149
0.93055594,0.00040276357,0.069022946,1.826159e-05,0.45712796,0.4565997,0.044888802,0.00023261066,0.041150983
0.9283559,0.00034045216,0.0712863,1.7398132e-05,0.4957888,0.49854887,0.0054283016,6.5182307e-06,0.00022751803
0.88725394,0.003672844,0.10905757,1.564563e-05,0.48987746,0.4924792,0.017430568,6.5613303e-06,0.00020618823
0.9049745,0.0054503526,0.08955653,1.8518742e-05,0.48721415,0.5097902,0.0024165479,9.4827465e-06,0.00056961714
0.90398324,0.038037486,0.05794874,3.0593386e-05,0.4940763,0.50202394,0.0026776702,1.0563654e-05,0.0012115131
0.91636765,0.043676093,0.039889026,6.726152e-05,0.48306483,0.49010506,0.011114918,5.6175275e-05,0.015658999
0.9103174,0.013762467,0.07589475,2.5304069e-05,0.5639293,0.4269005,0.0019552049,5.819424e-05,0.00715668
0.92215896,0.04215145,0.03559127,9.8400145e-05,0.4791324,0.51390773,0.004788137,1.20740215e-05,0.002159673
0.924455,0.033270173,0.042206593,6.83366e-05,0.49058133,0.5061532,0.0021799586,2.7505557e-05,0.001057969
0.9247033,0.00040337062,0.07487617,1.722975e-05,0.47144136,0.46970594,0.00055173214,0.05804895,0.0002520133
0.9157092,0.00039196113,0.083882615,1.613872e-05,0.4938273,0.49062738,0.015447089,4.8131016e-05,4.9982944e-05
0.9433002,0.00019618127,0.056475725,2.7855325e-05,0.48940971,0.5017953,0.008532927,6.199822e-06,0.00025578527
0.9429526,0.00029156572,0.05673425,2.1568048e-05,0.48853135,0.5025048,0.008690183,6.213096e-06,0.00026747168
0.9029065,0.00028661048,0.096789345,1.75923e-05,0.48895043,0.4959318,0.014899337,6.461544e-06,0.0002120007
0.90426004,0.00030748677,0.09541589,1.6611522e-05,0.4854095,0.4962011,0.018237438,7.744521e-06,0.0001443692
0.92051643,0.002298115,0.07716851,1.6884776e-05,0.48867452,0.5069547,0.003999762,7.473703e-06,0.0003634786
0.89991915,0.00077088753,0.099293925,1.5970061e-05,0.46953908,0.48531076,0.01880298,8.984364e-05,0.026257377
0.9078567,0.021035824,0.071080066,2.7369688e-05,0.4802687,0.4497761,0.016961522,0.00015621711,0.05283747
0.8939703,0.027227292,0.078787826,1.4586566e-05,0.46947715,0.491702,0.017247215,8.972462e-05,0.021483917
0.8926846,0.032445785,0.07485538,1.4311789e-05,0.4966452,0.49024358,0.0054978486,3.4356326e-05,0.0075790253
0.89111716,0.032363575,0.0765062,1.3026525e-05,0.41391897,0.40885222,0.09255153,0.0003585355,0.08431873
0.881016,0.019765936,0.099207304,1.0700276e-05,0.4213799,0.42758304,0.07899663,0.005812664,0.066227816
0.89119184,0.04171305,0.06708041,1.480706e-05,0.37831908,0.3549763,0.17859308,0.038456157,0.049655437
